"name","id","gender","uid","department"
"James Cameron","4762","2","2710","Directing"
"Gore Verbinski","4763","2","1704","Directing"
"Sam Mendes","4764","2","39","Directing"
"Christopher Nolan","4765","2","525","Directing"
"Andrew Stanton","4766","2","7","Directing"
"Sam Raimi","4767","2","7623","Directing"
"Byron Howard","4768","2","76595","Directing"
"Joss Whedon","4769","2","12891","Directing"
"David Yates","4770","2","11343","Directing"
"Zack Snyder","4771","2","15217","Directing"
"Bryan Singer","4772","2","9032","Directing"
"Marc Forster","4773","2","12995","Directing"
"Andrew Adamson","4774","2","5524","Directing"
"Rob Marshall","4775","2","17633","Directing"
"Barry Sonnenfeld","4776","2","5174","Directing"
"Peter Jackson","4777","2","108","Directing"
"Marc Webb","4778","2","87742","Directing"
"Ridley Scott","4779","2","578","Directing"
"Chris Weitz","4780","0","3288","Directing"
"Anthony Russo","4781","2","19271","Directing"
"Peter Berg","4782","2","36602","Directing"
"Colin Trevorrow","4783","2","930707","Directing"
"Shane Black","4784","2","1108","Directing"
"Tim Burton","4785","2","510","Directing"
"Brett Ratner","4786","2","11091","Directing"
"Dan Scanlon","4787","2","225976","Directing"
"Michael Bay","4788","2","865","Directing"
"Joseph Kosinski","4789","2","86270","Directing"
"John Lasseter","4790","2","7879","Directing"
"Martin Campbell","4791","2","10702","Directing"
"Lee Unkrich","4792","2","8","Directing"
"McG","4793","2","36425","Directing"
"James Wan","4794","2","2127","Directing"
"J.J. Abrams","4795","2","15344","Directing"
"Baz Luhrmann","4796","2","6201","Directing"
"Mike Newell","4797","2","10723","Directing"
"Guillermo del Toro","4798","2","10828","Directing"
"Steven Spielberg","4799","2","488","Directing"
"Peter Sohn","4800","2","21198","Directing"
"Brenda Chapman","4801","1","59803","Directing"
"Justin Lin","4802","0","58189","Directing"
"Roland Emmerich","4803","2","6046","Directing"
"Robert Zemeckis","4804","2","24","Directing"
"Lilly Wachowski","4805","1","9339","Directing"
"Pete Docter","4806","2","12890","Directing"
"Conrad Vernon","4807","2","12080","Directing"
"Jon Favreau","4808","2","15277","Directing"
"Martin Scorsese","4809","2","1032","Directing"
"Rob Cohen","4810","2","18878","Directing"
"David Ayer","4811","0","19769","Directing"
"Tom Shadyac","4812","2","4499","Directing"
"Doug Liman","4813","2","11694","Directing"
"Kevin Reynolds","4814","0","8300","Directing"
"Stephen Sommers","4815","2","7775","Directing"
"Rupert Sanders","4816","2","228134","Directing"
"Robert Stromberg","4817","0","1032536","Directing"
"Matt Reeves","4818","2","32278","Directing"
"Roland Joffé","4819","0","8965","Directing"
"Carl Rinsch","4820","0","239571","Directing"
"Mike Mitchell","4821","2","64151","Directing"
"Brad Bird","4822","2","7087","Directing"
"Chris Williams","4823","2","70238","Directing"
"Rich Moore","4824","2","165787","Directing"
"Chris Sanders","4825","2","66193","Directing"
"Jonathan Mostow","4826","2","7213","Directing"
"James Gunn","4827","2","15218","Directing"
"Hideaki Anno","4828","2","77921","Directing"
"David Fincher","4829","2","7467","Directing"
"Matthew Vaughn","4830","2","957","Directing"
"Francis Lawrence","4831","2","10943","Directing"
"Jon Turteltaub","4832","2","12962","Directing"
"Wolfgang Petersen","4833","2","5231","Directing"
"James Bobin","4834","0","26205","Directing"
"Chris Miller","4835","2","12098","Directing"
"Duncan Jones","4836","2","81850","Directing"
"Alan Taylor","4837","2","47005","Directing"
"Michael Apted","4838","2","10781","Directing"
"Oliver Stone","4839","2","1152","Directing"
"Jan Pinkava","4840","2","7930","Directing"
"Eric Darnell","4841","2","18863","Directing"
"Shawn Levy","4842","2","17825","Directing"
"Gavin Hood","4843","2","13079","Directing"
"Chris Buck","4844","0","15774","Directing"
"George Miller","4845","2","20629","Directing"
"Ron Howard","4846","2","6159","Directing"
"Kenneth Branagh","4847","2","11181","Directing"
"Hoyt Yeatman","4848","0","84851","Directing"
"Jonathan Liebesman","4849","0","66739","Directing"
"Christopher McQuarrie","4850","0","9033","Directing"
"Joe Johnston","4851","2","4945","Directing"
"Steve Hickner","4852","2","44113","Directing"
"Jennifer Yuh Nelson","4853","1","142312","Directing"
"M. Night Shyamalan","4854","2","11614","Directing"
"Simon Wells","4855","2","21879","Directing"
"David Bowers","4856","2","33183","Directing"
"Joe Wright","4857","2","36588","Directing"
"Rob Minkoff","4858","2","18898","Directing"
"Lee Tamahori","4859","2","7256","Directing"
"Paul Feig","4860","2","116805","Directing"
"Peter Ramsey","4861","2","151007","Directing"
